346.71,160.22,86.27
328.73,161.38,99.53
312.36,158.76,35.07
309.53,169.12,59.78
250.84,166.13,61.24
359.35,155.45,75.12
301.58,179.98,40.73
333.33,161.46,52.28
258.17,174.48,54.8
314.86,179.9,57.91
296.05,151.71,46.09
343.41,175.8,40.44
248.87,172.13,26.3
348.79,153.81,74.32
292.33,162.55,31.94
303.92,157.83,1.97
296.23,163.65,45.91
286.98,156.03,87.36
328.02,166.01,78.64
336.12,166.83,66.07
282.37,163.21,92.1
310.36,171.17,35.23
264.48,163.06,25.06
303.07,150.12,0.54
349.85,177.55,57.9
272.63,164.38,36.64
313.31,158.06,56.65
307.91,165.74,89.85
317.14,165.44,96.21
325.33,166.45,86.83
331.75,173.81,47.71
281.82,168.32,63.62
265.09,155.96,7.15
313.5,179.47,1.31
293.13,154.99,98.64
275.84,169.7,86.33
320.45,163.07,73.34
252.02,162.56,12.12
354.15,161.1,28.85
349.13,159.04,63.87
261.01,163.48,71.88
336.51,170.28,39.36
348.65,165.8,37.99
313.83,176.84,12.48
311.6,155.51,22.71
355.67,164.17,36.68
314.34,163.49,0.54
319.52,162.53,2.9
300.01,157.17,75.53
246.57,177.02,77.74
265.4,164.55,34.1
344.85,151.86,98.84
260.06,166.24,10.1
251.93,172.69,12.34
328.48,177.96,3.92
339.42,160.35,94.49
283.82,154.8,74.31
296.32,178.97,2.15
278.03,166.15,88.73
350.17,159.86,78.44
324.2,153.02,71.12
357.09,152.64,66.52
273.3,157.04,30.11
329.18,177.7,94.35
289.53,175.36,82.43
253.49,159.38,77.08
329.7,177.89,11.94
342.08,150.13,15.75
336.71,171.3,38.37
300.93,161.22,49.41
299.26,176.39,8.2
358.47,158.18,79.65
254.97,152.34,18.37
355.79,163.12,49.72
338.11,168.21,43.18
341.36,156.63,94.66
320.66,167.23,17.42
355.66,179.42,35.28
253.0,174.2,15.62
260.45,179.19,54.41
271.96,168.64,53.18
259.44,150.26,97.75
316.38,151.96,41.52
357.83,162.23,26.43
254.5,158.78,75.21
305.92,151.96,50.29
338.83,176.18,51.21
312.7,161.85,67.03
267.22,175.77,47.36
257.07,158.47,69.87
300.37,172.3,1.03
245.72,154.77,4.94
261.43,152.75,62.85
260.47,154.7,79.08
331.13,156.99,86.82
351.26,173.73,78.83
307.67,171.27,2.47
315.71,167.0,86.18
320.32,179.23,87.19
355.65,175.45,98.62
267.46,176.62,66.48
320.75,155.04,45.84
341.02,173.08,27.49
275.13,174.13,54.17
281.74,173.83,11.19
284.29,166.12,2.79
291.44,164.51,95.9
292.32,168.22,35.45
317.99,179.9,80.27
273.18,159.91,44.41
256.31,161.3,38.0
349.02,178.37,17.71
272.41,170.0,43.96
274.44,175.76,64.39
325.35,169.31,76.58
335.24,155.33,57.67
